1	Ἆρες ὑπερμενέτα, βρισάρματε, χρυσεοπήληξ, 
2	ὀβριμόθυμε, φέρασπι, πολισσόε, χαλκοκορυστά, 
3	καρτερόχειρ, ἀμόγητε, δορισθενές, ἕρκος Ὀλύμπου, 
4	Νίκης εὐπολέμοιο πάτερ, συναρωγὲ Θέμιστος, 
5	ἀντιβίοισι τύραννε, δικαιοτάτων ἀγὲ φωτῶν, 
6	ἠνορέης σκηπτοῦχε, πυραυγέα κύκλον ἑλίσσων 
7	αἰθέρος ἑπταπόροις ἐνὶ τείρεσιν, ἔνθα σε πῶλοι 
8	ζαφλεγέες τριτάτης ὑπὲρ ἄντυγος αἰὲν ἔχουσι· 
9	κλῦθι, βροτῶν ἐπίκουρε, δοτὴρ εὐθαρσέος ἥβης, 
10	πρηὺ καταστίλβων σέλας ὑψόθεν ἐς βιότητα 
11	ἡμετέρην καὶ κάρτος ἀρήιον, ὥς κε δυναίμην 
12	σεύασθαι κακότητα πικρὴν ἀπʼ ἐμοῖο καρήνου, 
13	καὶ ψυχῆς ἀπατηλὸν ὑπογνάμψαι φρεσὶν ὁρμήν, 
14	θυμοῦ αὖ μένος ὀξὺ κατισχέμεν, ὅς μʼ ἐρέθῃσι 
15	φυλόπιδος κρυερῆς ἐπιβαινέμεν· ἀλλὰ σὺ θάρσος 
16	δός, μάκαρ, εἰρήνης τε μένειν ἐν ἀπήμοσι θεσμοῖς 
17	δυσμενέων προφυγόντα μόθον Κῆράς τε βιαίους.
